calories,carbs,category,fat,nutrition,protein,rating,reviewCount,source,title,url,ingredients
351,52.0,Dinner,3.0,"{'@type': 'NutritionInformation', 'calories': '351 calories', 'fatContent': '3g fat (1g saturated fat)', 'cholesterolContent': '63mg cholesterol', 'sodiumContent': '699mg sodium', 'carbohydrateContent': '52g carbohydrate (15g sugars', 'fiberContent': '7g fiber)', 'proteinContent': '30g protein. '}",30.0,5.0,2.0,taste_of_home,Harvesttime Chicken with Couscous,https://www.tasteofhome.com/recipes/harvesttime-chicken-with-couscous/,"[""2 medium sweet potatoes (about 1-1/4 pounds), peeled and cut into 1/2-inch pieces"", ""1 medium sweet red pepper, coarsely chopped"", ""1-1/2 pounds boneless skinless chicken breasts"", ""1 can (14-1/2 ounces) stewed tomatoes, undrained"", ""1/2 cup peach or  mango salsa"", ""1/4 cup golden raisins"", ""1/2 teaspoon salt"", ""1/4 teaspoon ground cumin"", ""1/4 teaspoon ground cinnamon"", ""1/4 teaspoon pepper"", ""COUSCOUS:"", ""1 cup water"", ""1/2 teaspoon salt"", ""1 cup uncooked whole wheat couscous""]"
192,0.0,Dinner,4.0,"{'@type': 'NutritionInformation', 'calories': '192 calories', 'fatContent': '4g fat (1g saturated fat)', 'cholesterolContent': '94mg cholesterol', 'sodiumContent': '141mg sodium', 'carbohydrateContent': '0 carbohydrate (0 sugars', 'fiberContent': '0 fiber)', 'proteinContent': '34g protein. <B><b>Diabetic Exchanges</b>: </B> 5 lean meat.'}",34.0,5.0,2.0,taste_of_home,Poached Chicken,https://www.tasteofhome.com/recipes/poached-chicken/,"[""4 boneless skinless chicken breast halves (6 ounces each)"", ""1/2 cup white wine"", ""Aromatic ingredients: 6 whole peppercorns, 3 thyme sprigs, 1 rosemary sprig, 1 smashed garlic clove and 1 bay leaf"", ""1 teaspoon salt""]"
143,4.0,"Dinner,Lunch",3.0,"{'@type': 'NutritionInformation', 'calories': '143 calories', 'fatContent': '3g fat (1g saturated fat)', 'cholesterolContent': '63mg cholesterol', 'sodiumContent': '516mg sodium', 'carbohydrateContent': '4g carbohydrate (1g sugars', 'fiberContent': '2g fiber)', 'proteinContent': '24g protein. <b>Diabetic Exchanges</b>: 3 lean meat'}",24.0,4.875,16.0,taste_of_home,Slow-Cooker Chicken Taco Salad,https://www.tasteofhome.com/recipes/slow-cooker-chicken-taco-salad/,"[""3 teaspoons chili powder"", ""1 teaspoon each ground cumin, seasoned salt and pepper"", ""1/2 teaspoon each white pepper, ground chipotle pepper and paprika"", ""1/4 teaspoon dried oregano"", ""1/4 teaspoon crushed red pepper flakes"", ""1-1/2 pounds boneless skinless chicken breasts"", ""1 cup chicken broth"", ""9 cups torn romaine"", ""Optional toppings: Sliced avocado, shredded cheddar cheese, chopped tomato or halved cherry tomatoes, sliced green onions and salad dressing of your choice""]"
246,15.0,Dinner,4.0,"{'@type': 'NutritionInformation', 'calories': '246 calories', 'fatContent': '4g fat (1g saturated fat)', 'cholesterolContent': '94mg cholesterol', 'sodiumContent': '315mg sodium', 'carbohydrateContent': '15g carbohydrate (11g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '35g protein. <B><b>Diabetic Exchanges</b>: </B> 5 lean meat'}",35.0,5.0,1.0,taste_of_home,Pressure-Cooker Orange Chipotle Chicken,https://www.tasteofhome.com/recipes/pressure-cooker-orange-chipotle-chicken/,"[""1/2 cup plus 2 tablespoons cold water, divided"", ""1/2 cup thawed orange juice concentrate"", ""1/4 cup barbecue sauce"", ""1 chipotle pepper in adobo sauce"", ""1/4 teaspoon salt"", ""1/4 teaspoon garlic powder"", ""6 boneless skinless chicken breast halves (6 ounces each)"", ""1/4 cup chopped red onion"", ""4 teaspoons cornstarch"", ""Grated orange zest""]"
231,1.0,Dinner,9.0,"{'@type': 'NutritionInformation', 'calories': '231 calories', 'fatContent': '9g fat (2g saturated fat)', 'cholesterolContent': '94mg cholesterol', 'sodiumContent': '156mg sodium', 'carbohydrateContent': '1g carbohydrate (0 sugars', 'fiberContent': '0 fiber)', 'proteinContent': '34g protein.  <B><b>Diabetic Exchanges</b>: </B>5 lean meat'}",34.0,5.0,2.0,taste_of_home,Grilled Basil Chicken,https://www.tasteofhome.com/recipes/grilled-basil-chicken/,"[""1/4 cup balsamic vinegar"", ""2 tablespoons olive oil"", ""1-1/2 teaspoons lemon juice"", ""1/2 teaspoon lemon-pepper seasoning"", ""4 boneless skinless chicken breast halves (6 ounces each)""]"
273,10.0,Dinner,8.0,"{'@type': 'NutritionInformation', 'calories': '273 calories', 'fatContent': '8g fat (2g saturated fat)', 'cholesterolContent': '98mg cholesterol', 'sodiumContent': '606mg sodium', 'carbohydrateContent': '10g carbohydrate (4g sugars', 'fiberContent': '3g fiber)', 'proteinContent': '38g protein.  <B><b>Diabetic Exchanges</b>: </B>5 lean meat'}",38.0,5.0,3.0,taste_of_home,Margherita Chicken,https://www.tasteofhome.com/recipes/margherita-chicken/,"[""4 boneless skinless chicken breast halves (6 ounces each)"", ""1/2 cup reduced-fat balsamic vinaigrette"", ""3 garlic cloves, minced"", ""1/2 teaspoon salt"", ""1/4 teaspoon pepper"", ""1/4 cup marinara sauce"", ""16 fresh basil leaves"", ""2 plum tomatoes, thinly sliced lengthwise"", ""1 cup frozen artichoke hearts, thawed and chopped"", ""3 green onions, chopped"", ""1/4 cup shredded part-skim mozzarella cheese""]"
204,11.0,"Breakfast,Brunch,Snacks",17.0,"{'@type': 'NutritionInformation', 'calories': '204 calories', 'fatContent': '17g fat (6g saturated fat)', 'cholesterolContent': '0 cholesterol', 'sodiumContent': '19mg sodium', 'carbohydrateContent': '11g carbohydrate (8g sugars', 'fiberContent': '2g fiber)', 'proteinContent': '3g protein. '}",3.0,5.0,1.0,taste_of_home,Grain-Free Apple Pie Granola,https://www.tasteofhome.com/recipes/grain-free-apple-pie-granola/,"[""2 tablespoons coconut oil"", ""1/2 cup finely chopped almonds"", ""1/2 cup sweetened shredded coconut"", ""1/4 cup pine nuts"", ""1/4 cup chopped walnuts"", ""1/4 cup chopped pecans"", ""1 teaspoon ground cinnamon"", ""1/4 teaspoon ground cloves"", ""1/4 teaspoon ground nutmeg"", ""1 teaspoon vanilla extract"", ""2 tablespoons maple syrup"", ""1/4 cup chopped dried apples""]"
61,4.0,Appetizers,4.0,"{'@type': 'NutritionInformation', 'calories': '61 calories', 'fatContent': '4g fat (2g saturated fat)', 'cholesterolContent': '23mg cholesterol', 'sodiumContent': '143mg sodium', 'carbohydrateContent': '4g carbohydrate (1g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '3g protein. '}",3.0,4.928571,14.0,taste_of_home,Shrimp Tartlets,https://www.tasteofhome.com/recipes/shrimp-tartlets/,"[""1 package (8 ounces) cream cheese, softened"", ""1-1/2 teaspoons Worcestershire sauce"", ""1 to 2 teaspoons grated onion"", ""1 teaspoon garlic salt"", ""1/8 teaspoon lemon juice"", ""2 packages (1.9 ounces each) frozen miniature phyllo tart shells"", ""1/2 cup seafood cocktail sauce"", ""30 peeled and deveined cooked shrimp (31-40 per pound), tails removed"", ""Optional: Minced fresh parsley and lemon wedges""]"
394,31.0,Dinner,15.0,"{'@type': 'NutritionInformation', 'calories': '394 calories', 'fatContent': '15g fat (4g saturated fat)', 'cholesterolContent': '86mg cholesterol', 'sodiumContent': '808mg sodium', 'carbohydrateContent': '31g carbohydrate (29g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '31g protein. '}",31.0,5.0,6.0,taste_of_home,Grilled Pineapple Pork Chops,https://www.tasteofhome.com/recipes/grilled-pineapple-pork-chops/,"[""1/2 cup packed brown sugar"", ""1/2 cup Italian salad dressing"", ""1/4 cup pineapple juice"", ""3 tablespoons soy sauce"", ""6 bone-in pork loin chops (1-inch thick and 7 ounces each)"", ""1 can (20 ounces) sliced pineapple, drained""]"
248,38.0,"Breakfast,Brunch,Desserts",9.0,"{'@type': 'NutritionInformation', 'calories': '248 calories', 'fatContent': '9g fat (4g saturated fat)', 'cholesterolContent': '31mg cholesterol', 'sodiumContent': '218mg sodium', 'carbohydrateContent': '38g carbohydrate (19g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '4g protein. '}",4.0,4.9333334,15.0,taste_of_home,Apple Pull-Apart Bread,https://www.tasteofhome.com/recipes/apple-pull-apart-bread/,"[""1 package (1/4 ounce) active dry yeast"", ""1 cup warm 2% milk"", ""1/2 cup butter, melted, divided"", ""1 large egg, room temperature"", ""1 cup plus 2 tablespoons sugar, divided"", ""1 teaspoon salt"", ""3 to 3-1/2 cups all-purpose flour"", ""1-1/2 cups finely chopped peeled apple"", ""1 cup finely chopped pecans"", ""1/2 teaspoon ground cinnamon"", ""ICING:"", ""1 cup confectioners' sugar"", ""3 to 4-1/2 teaspoons hot water"", ""1/2 teaspoon vanilla extract""]"
77,5.0,Side Dishes,6.0,"{'@type': 'NutritionInformation', 'calories': '77 calories', 'fatContent': '6g fat (1g saturated fat)', 'cholesterolContent': '0 cholesterol', 'sodiumContent': '164mg sodium', 'carbohydrateContent': '5g carbohydrate (3g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '2g protein.  <B><b>Diabetic Exchanges</b>: </B>1 vegetable'}",2.0,5.0,3.0,taste_of_home,Fresh Asparagus with Pecans,https://www.tasteofhome.com/recipes/fresh-asparagus-with-pecans/,"[""1 pound fresh asparagus, trimmed"", ""1/4 cup cider vinegar"", ""1/4 cup reduced-sodium soy sauce"", ""2 tablespoons sugar"", ""2 tablespoons olive oil"", ""3 tablespoons chopped pecans, toasted""]"
416,34.0,Desserts,30.0,"{'@type': 'NutritionInformation', 'calories': '416 calories', 'fatContent': '30g fat (17g saturated fat)', 'cholesterolContent': '115mg cholesterol', 'sodiumContent': '274mg sodium', 'carbohydrateContent': '34g carbohydrate (25g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '6g protein.'}",6.0,5.0,1.0,taste_of_home,Instant Pot Chocolate Chip Cheesecake,https://www.tasteofhome.com/recipes/instant-pot-chocolate-chip-cheesecake/,"[""1 cup graham cracker crumbs"", ""1 tablespoon brown sugar"", ""Dash salt"", ""3 tablespoons unsalted butter, melted"", ""2 packages (8 ounces each) cream cheese, softened"", ""1/2 cup sugar"", ""1/2 teaspoon vanilla extract"", ""2 large eggs, room temperature, lightly beaten"", ""1/2 cup miniature semisweet chocolate chips""]"
360,25.0,Dinner,22.0,"{'@type': 'NutritionInformation', 'calories': '360 calories', 'fatContent': '22g fat (9g saturated fat)', 'cholesterolContent': '47mg cholesterol', 'sodiumContent': '1119mg sodium', 'carbohydrateContent': '25g carbohydrate (4g sugars', 'fiberContent': '2g fiber)', 'proteinContent': '16g protein. '}",16.0,5.0,4.0,taste_of_home,Bacon-Wrapped Hot Dogs,https://www.tasteofhome.com/recipes/bacon-wrapped-hot-dogs/,"[""12 bacon strips"", ""8 cheese beef hot dogs"", ""8 bakery hot dog buns, split and toasted"", ""1/4 cup chopped red onion"", ""2 cups sauerkraut, rinsed and well drained"", ""Optional condiments: mayonnaise, ketchup or  Dijon mustard""]"
98,2.0,Dinner,4.0,"{'@type': 'NutritionInformation', 'calories': '98 calories', 'fatContent': '4g fat (1g saturated fat)', 'cholesterolContent': '93mg cholesterol', 'sodiumContent': '196mg sodium', 'carbohydrateContent': '2g carbohydrate (1g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '13g protein.  <B><b>Diabetic Exchanges</b>: </B>2 lean meat'}",13.0,5.0,4.0,taste_of_home,Grilled Lime-Teriyaki Shrimp,https://www.tasteofhome.com/recipes/grilled-lime-teriyaki-shrimp/,"[""1 cup Italian salad dressing, divided"", ""1-1/2 pounds uncooked shrimp (16-20 per pound), peeled and deveined"", ""2 large onions, cut into 8 wedges each"", ""16 large fresh mushrooms"", ""2 large green peppers, cut into 1-1/2-inch pieces"", ""16 cherry tomatoes""]"
82,5.0,Appetizers,7.0,"{'@type': 'NutritionInformation', 'calories': '82 calories', 'fatContent': '7g fat (1g saturated fat)', 'cholesterolContent': '0 cholesterol', 'sodiumContent': '85mg sodium', 'carbohydrateContent': '5g carbohydrate (1g sugars', 'fiberContent': '2g fiber)', 'proteinContent': '1g protein.  <B><b>Diabetic Exchanges</b>: </B>1-1/2 fat.'}",1.0,5.0,24.0,taste_of_home,Avocado Salsa,https://www.tasteofhome.com/recipes/avocado-salsa/,"[""1-2/3 cups (about 8-1/4 ounces) frozen corn, thawed"", ""2 cans (2-1/4 ounces each) sliced ripe olives, drained"", ""1 medium sweet red pepper, chopped"", ""1 small onion, chopped"", ""5 garlic cloves, minced"", ""1/3 cup olive oil"", ""1/4 cup lemon juice"", ""3 tablespoons cider vinegar"", ""1 teaspoon dried oregano"", ""1/2 teaspoon salt"", ""1/2 teaspoon pepper"", ""4 medium ripe avocados, peeled"", ""Tortilla chips""]"
377,4.0,Dinner,20.0,"{'@type': 'NutritionInformation', 'calories': '377 calories', 'fatContent': '20g fat (5g saturated fat)', 'cholesterolContent': '122mg cholesterol', 'sodiumContent': '1067mg sodium', 'carbohydrateContent': '4g carbohydrate (3g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '39g protein. '}",39.0,4.806452,31.0,taste_of_home,Can-Can Chicken,https://www.tasteofhome.com/recipes/can-can-chicken/,"[""4 teaspoons chicken seasoning"", ""2 teaspoons sugar"", ""2 teaspoons chili powder"", ""1-1/2 teaspoons paprika"", ""1-1/4 teaspoons dried basil"", ""1/4 teaspoon pepper"", ""1 broiler/fryer chicken (3 to 4 pounds)"", ""1 tablespoon canola oil"", ""2 lemon slices"", ""1 can (12 ounces) beer or nonalcoholic beer""]"
33,6.0,Appetizers,0.0,"{'@type': 'NutritionInformation', 'calories': '33 calories', 'fatContent': '0 fat (0 saturated fat)', 'cholesterolContent': '0 cholesterol', 'sodiumContent': '118mg sodium', 'carbohydrateContent': '6g carbohydrate (1g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '1g protein.  <B><b>Diabetic Exchanges</b>: </B>1/2 starch.'}",1.0,4.826087,23.0,taste_of_home,Corn 'n' Black Bean Salsa,https://www.tasteofhome.com/recipes/corn-n-black-bean-salsa/,"[""2 cans (15-1/4 ounces each) whole kernel corn, drained"", ""2 cans (15 ounces each) black beans, rinsed and drained"", ""8 plum tomatoes, seeded and chopped"", ""1 medium red onion, chopped"", ""3/4 cup minced fresh cilantro"", ""4 jalapeno peppers, seeded and chopped"", ""1/4 cup lime juice"", ""1/2 teaspoon salt"", ""Tortilla chips""]"
49,11.0,Appetizers,0.0,"{'@type': 'NutritionInformation', 'calories': '49 calories', 'fatContent': '0 fat (0 saturated fat)', 'cholesterolContent': '0 cholesterol', 'sodiumContent': '180mg sodium', 'carbohydrateContent': '11g carbohydrate (9g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '1g protein.  <B><b>Diabetic Exchanges</b>: </B>1/2 starch.'}",1.0,5.0,1.0,taste_of_home,Sweet & Smoky Salsa,https://www.tasteofhome.com/recipes/sweet-smoky-salsa/,"[""1 cup soaked mesquite wood chips"", ""2 medium onions"", ""12 garlic cloves, peeled"", ""3 teaspoons barbecue seasoning, divided"", ""2 pounds tomatillos, husked (about 12)"", ""2 pounds plum tomatoes (about 8)"", ""6 jalapeno peppers"", ""1-1/2 cups cider vinegar"", ""1-1/4 cups packed brown sugar"", ""1-1/2 teaspoons salt"", ""1/2 teaspoon pepper"", ""1/3 cup minced fresh cilantro""]"
404,29.0,Lunch,19.0,"{'@type': 'NutritionInformation', 'calories': '404 calories', 'fatContent': '19g fat (9g saturated fat)', 'cholesterolContent': '85mg cholesterol', 'sodiumContent': '718mg sodium', 'carbohydrateContent': '29g carbohydrate (7g sugars', 'fiberContent': '2g fiber)', 'proteinContent': '27g protein. '}",27.0,5.0,1.0,taste_of_home,Chili-Cheese Burgers,https://www.tasteofhome.com/recipes/chili-cheese-burgers/,"[""1/2 cup shredded cheddar cheese"", ""6 tablespoons chili sauce, divided"", ""1 tablespoon chili powder"", ""1 pound ground beef"", ""4 hamburger buns, split"", ""Lettuce leaves, tomato slices  and mayonnaise, optional""]"
51,4.0,Appetizers,3.0,"{'@type': 'NutritionInformation', 'calories': '51 calories', 'fatContent': '3g fat (1g saturated fat)', 'cholesterolContent': '6mg cholesterol', 'sodiumContent': '84mg sodium', 'carbohydrateContent': '4g carbohydrate (0 sugars', 'fiberContent': '0 fiber)', 'proteinContent': '2g protein. '}",2.0,4.8125,16.0,taste_of_home,Taco Pinwheels,https://www.tasteofhome.com/recipes/taco-pinwheels/,"[""4 ounces cream cheese, softened"", ""3/4 cup Seasoned Taco Meat"", ""1/4 cup finely shredded cheddar cheese"", ""1/4 cup salsa"", ""2 tablespoons mayonnaise"", ""2 tablespoons chopped ripe olives"", ""2 tablespoons finely chopped onion"", ""5 flour tortillas (8 inches), room temperature"", ""1/2 cup shredded lettuce"", ""Additional salsa""]"
32,8.0,Appetizers,0.0,"{'@type': 'NutritionInformation', 'calories': '32 calories', 'fatContent': '0 fat (0 saturated fat)', 'cholesterolContent': '0 cholesterol', 'sodiumContent': '42mg sodium', 'carbohydrateContent': '8g carbohydrate (7g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '1g protein. <b>Diabetic Exchanges</b>: 1/2 starch.'}",1.0,5.0,2.0,taste_of_home,Spicy Watermelon Salsa,https://www.tasteofhome.com/recipes/spicy-watermelon-salsa/,"[""2 cups seeded finely chopped watermelon"", ""1/2 cup finely chopped peeled cucumber"", ""1/4 cup finely chopped red onion"", ""1/4 cup finely chopped sweet red pepper"", ""1 jalapeno pepper, seeded and minced"", ""1/4 cup minced fresh cilantro"", ""1 tablespoon minced fresh basil"", ""1 tablespoon minced fresh mint"", ""2 tablespoons honey"", ""1 teaspoon lime juice"", ""Baked tortilla chip scoops""]"
335,7.0,Dinner,20.0,"{'@type': 'NutritionInformation', 'calories': '335 calories', 'fatContent': '20g fat (4g saturated fat)', 'cholesterolContent': '103mg cholesterol', 'sodiumContent': '563mg sodium', 'carbohydrateContent': '7g carbohydrate (6g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '31g protein. '}",31.0,4.7647057,17.0,taste_of_home,Caribbean Jerk Chicken,https://www.tasteofhome.com/recipes/caribbean-jerk-chicken/,"[""1/4 cup olive oil"", ""2 tablespoons brown sugar"", ""2 tablespoons reduced-sodium soy sauce"", ""1 envelope Italian salad dressing mix"", ""1 teaspoon dried thyme"", ""1 teaspoon ground cinnamon"", ""1/2 teaspoon cayenne pepper"", ""4 chicken leg quarters""]"
384,70.0,Desserts,10.0,"{'@type': 'NutritionInformation', 'calories': '384 calories', 'fatContent': '10g fat (7g saturated fat)', 'cholesterolContent': '21mg cholesterol', 'sodiumContent': '223mg sodium', 'carbohydrateContent': '70g carbohydrate (50g sugars', 'fiberContent': '3g fiber)', 'proteinContent': '3g protein. '}",3.0,4.9310346,58.0,taste_of_home,Blueberry Angel Dessert,https://www.tasteofhome.com/recipes/blueberry-angel-dessert/,"[""1 package (8 ounces) cream cheese, softened"", ""1 cup confectioners' sugar"", ""1 carton (8 ounces) frozen whipped topping, thawed"", ""1 prepared angel food cake (8 to 10 ounces), cut into 1-inch cubes"", ""2 cans (21 ounces each) blueberry pie filling""]"
159,1.0,Dinner,6.0,"{'@type': 'NutritionInformation', 'calories': '159 calories', 'fatContent': '6g fat (1g saturated fat)', 'cholesterolContent': '63mg cholesterol', 'sodiumContent': '248mg sodium', 'carbohydrateContent': '1g carbohydrate (0 sugars', 'fiberContent': '0 fiber)', 'proteinContent': '23g protein.  <B><b>Diabetic Exchanges</b>: </B>3 lean meat'}",23.0,5.0,9.0,taste_of_home,Herbed Barbecued Chicken,https://www.tasteofhome.com/recipes/herbed-barbecued-chicken/,"[""2 tablespoons olive oil"", ""2 tablespoons reduced-sodium soy sauce"", ""2 tablespoons Worcestershire sauce"", ""1 garlic clove, minced"", ""1 tablespoon dried parsley flakes"", ""1/2 teaspoon dried rosemary, crushed"", ""1/2 teaspoon rubbed sage"", ""1/4 teaspoon dried oregano"", ""1/4 teaspoon dried thyme"", ""1/4 teaspoon pepper"", ""4 boneless skinless chicken breast halves (4 ounces each)""]"
18,4.0,Appetizers,0.0,"{'@type': 'NutritionInformation', 'calories': '18 calories', 'fatContent': '0 fat (0 saturated fat)', 'cholesterolContent': '0 cholesterol', 'sodiumContent': '131mg sodium', 'carbohydrateContent': '4g carbohydrate (2g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '1g protein. '}",1.0,5.0,6.0,taste_of_home,Chunky Salsa,https://www.tasteofhome.com/recipes/chunky-salsa/,"[""10-1/2 pounds tomatoes (about 35 medium)"", ""4 medium green peppers, chopped"", ""3 large onions, chopped"", ""2 cans (12 ounces each) tomato paste"", ""1-3/4 cups white vinegar"", ""1/2 cup sugar"", ""1 medium sweet red pepper, chopped"", ""1 celery rib, chopped"", ""15 garlic cloves, minced"", ""4 to 5 jalapeno peppers, seeded and chopped"", ""1/4 cup canning salt"", ""1/4 to 1/2 teaspoon hot pepper sauce""]"
348,35.0,Desserts,20.0,"{'@type': 'NutritionInformation', 'calories': '348 calories', 'fatContent': '20g fat (13g saturated fat)', 'cholesterolContent': '49mg cholesterol', 'sodiumContent': '305mg sodium', 'carbohydrateContent': '35g carbohydrate (22g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '4g protein. '}",4.0,4.742857,35.0,taste_of_home,Lemon Pudding Dessert,https://www.tasteofhome.com/recipes/lemon-pudding-dessert/,"[""1 cup cold butter, cubed"", ""2 cups all-purpose flour"", ""1 package (8 ounces) cream cheese, softened"", ""1 cup confectioners' sugar"", ""1 carton (8 ounces) frozen whipped topping, thawed, divided"", ""3 cups cold whole milk"", ""2 packages (3.4 ounces each) instant lemon pudding mix""]"
191,23.0,Desserts,10.0,"{'@type': 'NutritionInformation', 'calories': '191 calories', 'fatContent': '10g fat (6g saturated fat)', 'cholesterolContent': '40mg cholesterol', 'sodiumContent': '94mg sodium', 'carbohydrateContent': '23g carbohydrate (12g sugars', 'fiberContent': '1g fiber)', 'proteinContent': '3g protein. '}",3.0,4.733333,75.0,taste_of_home,Apple Caramel Cheesecake Bars,https://www.tasteofhome.com/recipes/apple-caramel-cheesecake-bars/,"[""2 cups all-purpose flour"", ""1/2 cup packed brown sugar"", ""3/4 cup cold butter, cubed"", ""2 packages (8 ounces each) cream cheese, softened"", ""1/2 cup plus 2 tablespoons sugar, divided"", ""1 teaspoon vanilla extract"", ""2 large eggs, lightly beaten"", ""3 medium tart apples, peeled and finely chopped"", ""1/2 teaspoon ground cinnamon"", ""1/4 teaspoon ground nutmeg"", ""STREUSEL:"", ""3/4 cup all-purpose flour"", ""3/4 cup packed brown sugar"", ""1/2 cup quick-cooking oats"", ""1/3 cup cold butter, cubed"", ""1/3 cup hot caramel ice cream topping""]"
23,5.0,Appetizers,0.0,"{'@type': 'NutritionInformation', 'calories': '23 calories', 'fatContent': '0 fat (0 saturated fat)', 'cholesterolContent': '0 cholesterol', 'sodiumContent': '1mg sodium', 'carbohydrateContent': '5g carbohydrate (5g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '0 protein.  <B><b>Diabetic Exchanges</b>: </B>1/2 fruit.'}",0.0,5.0,1.0,taste_of_home,Quick Watermelon Salsa,https://www.tasteofhome.com/recipes/quick-watermelon-salsa/,"[""2 cups chopped seedless watermelon"", ""1 can (8 ounces) unsweetened crushed pineapple, drained"", ""1/4 cup chopped sweet onion"", ""1/4 cup minced fresh cilantro"", ""3 tablespoons orange juice"", ""1/8 teaspoon hot pepper sauce"", ""Tortilla chips""]"
56,6.0,Appetizers,3.0,"{'@type': 'NutritionInformation', 'calories': '56 calories', 'fatContent': '3g fat (2g saturated fat)', 'cholesterolContent': '7mg cholesterol', 'sodiumContent': '24mg sodium', 'carbohydrateContent': '6g carbohydrate (5g sugars', 'fiberContent': '0 fiber)', 'proteinContent': '1g protein. '}",1.0,4.9,10.0,taste_of_home,Marshmallow Fruit Dip,https://www.tasteofhome.com/recipes/marshmallow-fruit-dip/,"[""1 package (8 ounces) cream cheese, softened"", ""3/4 cup cherry yogurt"", ""1 carton (8 ounces) frozen whipped topping, thawed"", ""1 jar (7 ounces) marshmallow creme"", ""Assorted fresh fruit""]"
497,67.0,Dinner,18.0,"{'@type': 'NutritionInformation', 'calories': '497 calories', 'fatContent': '18g fat (3g saturated fat)', 'cholesterolContent': '0 cholesterol', 'sodiumContent': '803mg sodium', 'carbohydrateContent': '67g carbohydrate (5g sugars', 'fiberContent': '5g fiber)', 'proteinContent': '18g protein. '}",18.0,5.0,1.0,taste_of_home,Vegan Mac and Cheese,https://www.tasteofhome.com/recipes/vegan-mac-and-cheese/,"[""2 cups raw cashews"", ""16 ounces uncooked elbow macaroni"", ""1-1/2 cups water"", ""1/3 cup nutritional yeast"", ""2 teaspoons lemon juice"", ""2 teaspoons salt"", ""2 teaspoons onion powder"", ""1-1/2 teaspoons paprika"", ""1 teaspoon pepper"", ""1/8 teaspoon cayenne pepper""]"
